frame,time_ns,n_hydrogen_bonds
865,34.6,209
866,34.64,205
867,34.68,193
868,34.72,191
869,34.76,198
870,34.800000000000004,197
871,34.84,186
872,34.88,199
873,34.92,198
874,34.96,199
875,35.0,201
876,35.04,218
877,35.08,197
878,35.12,193
879,35.160000000000004,206
880,35.2,217
881,35.24,205
882,35.28,205
883,35.32,199
884,35.36,200
885,35.4,194
886,35.44,193
887,35.480000000000004,206
888,35.52,203
889,35.56,191
890,35.6,197
891,35.64,211
892,35.68,203
893,35.72,206
894,35.76,198
895,35.800000000000004,202
896,35.84,199
897,35.88,201
898,35.92,211
899,35.96,200
900,36.0,194
901,36.04,195
902,36.08,212
903,36.12,197
904,36.160000000000004,206
905,36.2,191
906,36.24,207
907,36.28,212
908,36.32,205
909,36.36,200
910,36.4,194
911,36.44,199
912,36.480000000000004,192
913,36.52,197
914,36.56,199
915,36.6,196
916,36.64,196
917,36.68,206
918,36.72,197
919,36.76,193
920,36.800000000000004,200
921,36.84,202
922,36.88,196
923,36.92,204
924,36.96,207
925,37.0,195
926,37.04,194
927,37.08,190
928,37.12,195
929,37.160000000000004,198
930,37.2,193
931,37.24,204
932,37.28,190
933,37.32,192
934,37.36,197
935,37.4,196
936,37.44,195
937,37.480000000000004,198
938,37.52,208
939,37.56,208
940,37.6,200
941,37.64,186
942,37.68,193
943,37.72,199
944,37.76,199
945,37.800000000000004,185
946,37.84,192
947,37.88,194
948,37.92,184
949,37.96,196
950,38.0,194
951,38.04,197
952,38.08,199
953,38.12,196
954,38.160000000000004,190
955,38.2,197
956,38.24,207
957,38.28,198
958,38.32,191
959,38.36,205
960,38.4,185
961,38.44,189
962,38.480000000000004,191
963,38.52,199
964,38.56,196
965,38.6,190
966,38.64,197
967,38.68,206
968,38.72,200
969,38.76,196
970,38.800000000000004,193
971,38.84,197
972,38.88,194
973,38.92,191
974,38.96,212
975,39.0,185
976,39.04,200
977,39.08,200
978,39.12,186
979,39.160000000000004,206
980,39.2,205
981,39.24,195
982,39.28,192
983,39.32,193
984,39.36,191
985,39.4,192
986,39.44,188
987,39.480000000000004,187
988,39.52,198
989,39.56,202
990,39.6,195
991,39.64,191
992,39.68,191
993,39.72,184
994,39.76,192
995,39.800000000000004,189
996,39.84,197
997,39.88,191
998,39.92,195
999,39.96,203
1000,40.0,183
1001,40.04,185
1002,40.08,194
1003,40.12,201
1004,40.160000000000004,182
1005,40.2,196
1006,40.24,196
1007,40.28,180
1008,40.32,194
1009,40.36,192
1010,40.4,192
1011,40.44,176
1012,40.480000000000004,195
1013,40.52,189
1014,40.56,189
1015,40.6,194
1016,40.64,181
1017,40.68,192
1018,40.72,190
1019,40.76,201
1020,40.800000000000004,192
1021,40.84,191
1022,40.88,182
1023,40.92,190
1024,40.96,200
1025,41.0,197
1026,41.04,194
1027,41.08,190
1028,41.12,199
1029,41.160000000000004,191
1030,41.2,210
1031,41.24,208
1032,41.28,193
1033,41.32,203
1034,41.36,202
1035,41.4,195
1036,41.44,193
1037,41.480000000000004,204
1038,41.52,206
1039,41.56,194
1040,41.6,197
1041,41.64,184
1042,41.68,198
1043,41.72,201
1044,41.76,199
1045,41.800000000000004,199
1046,41.84,187
1047,41.88,188
1048,41.92,191
1049,41.96,202
1050,42.0,195
1051,42.04,201
1052,42.08,192
1053,42.12,194
1054,42.160000000000004,206
1055,42.2,194
1056,42.24,202
1057,42.28,196
1058,42.32,191
1059,42.36,200
1060,42.4,189
1061,42.44,199
1062,42.480000000000004,197
1063,42.52,196
1064,42.56,206
1065,42.6,189
1066,42.64,199
1067,42.68,197
1068,42.72,186
1069,42.76,199
1070,42.800000000000004,207
1071,42.84,190
1072,42.88,189
1073,42.92,192
1074,42.96,199
1075,43.0,199
1076,43.04,194
1077,43.08,197
1078,43.12,192
1079,43.160000000000004,199
1080,43.2,195
1081,43.24,192
1082,43.28,188
1083,43.32,192
1084,43.36,201
1085,43.4,184
1086,43.44,199
1087,43.480000000000004,196
1088,43.52,204
1089,43.56,193
1090,43.6,196
1091,43.64,198
1092,43.68,201
1093,43.72,203
1094,43.76,204
1095,43.800000000000004,199
1096,43.84,199
1097,43.88,198
1098,43.92,204
1099,43.96,198
1100,44.0,196
1101,44.04,202
1102,44.08,192
1103,44.12,217
1104,44.160000000000004,203
1105,44.2,208
1106,44.24,199
1107,44.28,199
1108,44.32,195
1109,44.36,205
1110,44.4,203
1111,44.44,191
1112,44.480000000000004,198
1113,44.52,201
1114,44.56,192
1115,44.6,209
1116,44.64,203
1117,44.68,206
1118,44.72,209
1119,44.76,196
1120,44.800000000000004,206
1121,44.84,197
1122,44.88,185
1123,44.92,185
1124,44.96,188
1125,45.0,204
1126,45.04,194
1127,45.08,200
1128,45.12,203
1129,45.160000000000004,206
1130,45.2,208
1131,45.24,195
1132,45.28,198
1133,45.32,207
1134,45.36,211
1135,45.4,194
1136,45.44,194
1137,45.480000000000004,185
1138,45.52,197
1139,45.56,196
1140,45.6,208
1141,45.64,198
1142,45.68,203
1143,45.72,196
1144,45.76,198
1145,45.800000000000004,196
1146,45.84,193
